Term,Hits,Is Target ?
,,
DMRT1,88,TRUE
,,
???,42,FALSE
,,
PI15,112,TRUE
,,
PROM1,49,TRUE
,,
edil3,34,TRUE
,,
P12883,40,TRUE
,,
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,43,FALSE
,,
Crb2,58,TRUE
,,
P17010,37,TRUE
,,
CHD7,35,TRUE
,,
PHOX2B,73,TRUE
,,
kegg,30,FALSE
,,
HOTAIR,34,FALSE
,,
pca3,38,FALSE
,,
FLCN,31,TRUE
,,
POSTN,33,TRUE
,,
chd2,34,TRUE
,,
SBDS,27,TRUE
,,
A8K2U0,29,TRUE
,,
mnx1,32,TRUE
,,
Dlx1,44,TRUE
,,
LZTR1,30,TRUE
,,
piezo1,33,TRUE
,,
SETBP1,84,TRUE
,,
NCOA4,147,TRUE
,,
ELF5,24,TRUE
,,
TMC1,24,TRUE
,,
Pl15,42,FALSE
,,
FUBP1,56,TRUE
,,
SIL1,87,TRUE
,,
q92508,23,TRUE
,,
tmco1,25,TRUE
,,
photosynthesis,28,FALSE
,,
ANXA3,30,TRUE
,,
CELSR2,30,TRUE
,,
CAMTA1,60,TRUE
,,
phex,21,TRUE
,,
SHOX,23,TRUE
,,
GXYLT1,24,TRUE
,,
CDHR1,26,TRUE
,,
MALAT1,27,FALSE
,,
SGCE,28,TRUE
,,
P16860,29,TRUE
,,
PHF6,31,TRUE
,,
SOX11,40,TRUE
,,
OSR1,43,TRUE
,,
hoxa13,50,TRUE
,,
RBM20,52,TRUE
,,
Q96G97,20,TRUE
,,
A6NHR9,21,TRUE
,,
EGR3,21,TRUE
,,
Frzb,22,TRUE
,,
Q5QGS0,23,TRUE
,,
LRBA,24,TRUE
,,
AFF2,28,TRUE
,,
IRGM,28,TRUE
,,
Prrx1,30,TRUE
,,
Q53GA5,31,FALSE
,,
AIF1,39,TRUE
,,
ASXL3,43,TRUE
,,
VPS13B,52,TRUE
,,
Q0VG99,19,TRUE
,,
Q9P1W3,19,TRUE
,,
Q9Y3R5,19,TRUE
,,
CCL7,21,TRUE
,,
P05408,21,TRUE
,,
SPG11,21,TRUE
,,
TENM1,21,TRUE
,,
USH2A,21,TRUE
,,
EHF,22,TRUE
,,
P14222,22,TRUE
,,
P48742,22,TRUE
,,
pax7,22,TRUE
,,
CSMD1,24,TRUE
,,
HMCN1,26,TRUE
,,
RCBTB1,28,TRUE
,,
ARMS2,29,TRUE
,,
srpx2,46,TRUE
,,
CDH23,64,TRUE
,,
Q8TE73,18,TRUE
,,
q9h4a4,18,TRUE
,,
Activation of TRKA receptors,19,FALSE
,,
MFSD8,19,TRUE
,,
MPZ,19,TRUE
,,
SSH2,19,TRUE
,,
DNASE1L3,20,TRUE
,,
GPR174,20,TRUE
,,
Q6UWS5,20,TRUE
,,
U3KPV4,20,TRUE
,,
gal3st1,21,TRUE
,,
Q96DW6,21,TRUE
,,
Q8NEV4,22,TRUE
,,
TOR2A,22,TRUE
,,
ANLN,23,TRUE
,,
HINT1,23,TRUE
,,
DCLK2,24,TRUE
,,
INVS,25,TRUE
,,
PRPH2,27,TRUE
,,
SERPINF1,27,TRUE
,,
SPATA7,28,TRUE
,,
INF2,29,TRUE
,,
Mgp,42,TRUE
,,
DPP6,47,TRUE
,,
ZMIZ1,49,TRUE
,,
CNGB3,51,TRUE
,,
PCDH15,53,TRUE
,,
OPA3,64,TRUE
,,
????,17,FALSE
,,
NBPF10,17,TRUE
,,
Q2TB90,17,TRUE
,,
Q9BUW7,17,TRUE
,,
SLC39A11,17,TRUE
,,
MTDH,18,TRUE
,,
Q96L92,18,TRUE
,,
Q9NPA0,18,TRUE
,,
Q9Y5B6,18,TRUE
,,
Q9Y5K2,18,TRUE
,,
TM4SF1,18,TRUE
,,
CLIC1,19,TRUE
,,
FEV,19,TRUE
,,
O95057,19,TRUE
,,
plag1,19,TRUE
,,
Q8NEY1,19,TRUE
,,
Q9NPC4,19,TRUE
,,
SAMD9L,19,TRUE
,,
VTCN1,19,TRUE
,,
Id4,20,TRUE
,,
O43435,20,TRUE
,,
Q96QS3,20,TRUE
,,
CMPK2,21,TRUE
,,
laptm5,21,TRUE
,,
spink1,21,TRUE
,,
WDPCP,21,TRUE
,,
DGCR2,22,TRUE
,,
CCL14,23,TRUE
,,
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,23,FALSE
,,
Q99453,23,TRUE
,,
SPOCK2,23,TRUE
,,
C1QTNF3,28,TRUE
,,
cnga3,28,TRUE
,,
IGSF3,29,TRUE
,,
fat4,30,TRUE
,,
IRX3,30,TRUE
,,
FOXF1,38,TRUE
,,
REG1A,40,TRUE
,,
A2ML1,44,TRUE
,,
CSMD3,51,TRUE
,,
NAGPA,16,TRUE
,,
Q8N5I9,16,TRUE
,,
Q9C0E2,16,TRUE
,,
TSHZ1,16,TRUE
,,
EN1,17,TRUE
,,
glycolisis,17,FALSE
,,
insuline,17,FALSE
,,
O75363,17,TRUE
,,
STC1,17,TRUE
,,
GZMA,18,TRUE
,,
P34820,18,TRUE
,,
PRR12,18,TRUE
,,
Q06787,18,TRUE
,,
Q5H943,18,TRUE
,,
Q96CU9,18,TRUE
,,
Q9P2D1,18,TRUE
,,
oxsr1,19,TRUE
,,
P18583,19,TRUE
,,
P28360,19,TRUE
,,
Q6WRI0,19,TRUE
,,
Q7Z429,19,TRUE
,,
Q96M93,19,TRUE
,,
hydin,20,TRUE
,,
ALPK1,21,TRUE
,,
ANXA4,21,TRUE
,,
ATOH1,21,TRUE
,,
MYCL,21,TRUE
,,
Q8WWQ0,21,TRUE
,,
Mxi1,22,TRUE
,,
NUPR1,23,TRUE
,,
SAMD9,23,TRUE
,,
Sigmar1,23,TRUE
,,
celsr3,24,TRUE
,,
IMPG1,24,TRUE
,,
DNTT,26,TRUE
,,
AEBP1,27,TRUE
,,
A4GALT,36,TRUE
,,
SERPINB7,39,TRUE
,,
KLHL7,47,TRUE
,,
TBX2,51,TRUE
,,
MACROD2,55,TRUE
,,
CPEB4,62,TRUE
,,
PRICKLE2,15,TRUE
,,
Q8NHS3,15,TRUE
,,
Q96C74,15,TRUE
,,
Q96FZ2,15,TRUE
,,
Q96I51,15,TRUE
,,
Q9BZV3,15,TRUE
,,
Q9NSK7,15,TRUE
,,
Q9Y3B6,15,TRUE
,,
Q9Y653,15,TRUE
,,
rap2a,15,TRUE
,,
RC3H1,15,TRUE
,,
TBX22,15,TRUE
,,
BNC2,16,TRUE
,,
DMXL2,16,TRUE
,,
IRF2BPL,16,TRUE
,,
P58872,16,TRUE
,,
PCDH19,16,TRUE
,,
PLVAP,16,TRUE
,,
Q76M96,16,TRUE
,,
Q86VP3,16,TRUE
,,
Q8N0Z2,16,TRUE
,,
Q9NPF8,16,TRUE
,,
Q9NUQ3,16,TRUE
,,
Q9NYP3,16,TRUE
,,
Q9Y3Q7,16,TRUE
,,
STK17B,16,TRUE
,,
A1Z1Q3,17,TRUE
,,
cd276,17,TRUE
,,
CELF4,17,TRUE
,,
EIF2AK4,17,TRUE
,,
EML4,17,TRUE
,,
GDF6,17,TRUE
,,
HMX2,17,TRUE
,,
JAZF1,17,TRUE
,,
O95754,17,TRUE
,,
PEPD,17,TRUE
,,
PRDM12,17,TRUE
,,
Q0P670,17,TRUE
,,
Q6UY11,17,TRUE
,,
Q9BXI9,17,TRUE
,,
Q9H2Y9,17,TRUE
,,
Q9H6A9,17,TRUE
,,
Q9NUM4,17,TRUE
,,
Q9NZV5,17,TRUE
,,
Q9UH65,17,TRUE
,,
Q9UKU6,17,TRUE
,,
taok2,17,TRUE
,,
TBX4,17,TRUE
,,
ATF5,18,TRUE
,,
BANK1,18,TRUE
,,
ESX1,18,TRUE
,,
katnal2,18,TRUE
,,
O15266,18,TRUE
,,
O60391,18,TRUE
,,
P49335,18,TRUE
,,
Q53F39,18,TRUE
,,
Q9H320,18,TRUE
,,
Q9UIA9,18,TRUE
,,
B1AK53,19,TRUE
,,
BARX1,19,TRUE
,,
O75072,19,TRUE
,,
ANGPTL6,20,TRUE
,,
CLPB,20,TRUE
,,
HEG1,20,TRUE
,,
IMPG2,21,TRUE
,,
POU3F4,21,TRUE
,,
FKTN,22,TRUE
,,
IGHMBP2,22,TRUE
,,
KLK6,22,TRUE
,,
R-MMU-1799339,22,FALSE
,,
DRAM2,23,TRUE
,,
EGR4,23,TRUE
,,
TENM3,24,TRUE
,,
DLX2,25,TRUE
,,
ABI3BP,26,TRUE
,,
C12orf65,26,TRUE
,,
MYO15A,26,TRUE
,,
prune2,27,TRUE
,,
abhd2,30,TRUE
,,
HOXA6,30,TRUE
,,
FUT2,38,TRUE
,,
GOLGA8A,51,TRUE
,,
PHACTR1,54,TRUE
,,
PTPRE,112,TRUE
,,
NOP16,14,TRUE
,,
P51816,14,TRUE
,,
pkd1l1,14,TRUE
,,
Q5EBN2,14,TRUE
,,
Q5VW22,14,TRUE
,,
Q6ZMN7,14,TRUE
,,
Q8N196,14,TRUE
,,
Q96IU2,14,TRUE
,,
Q9BQL6,14,TRUE
,,
Q9NYJ7,14,TRUE
,,
Q9NZT2,14,TRUE
,,
Q9P0M6,14,TRUE
,,
RHBDF1,14,TRUE
,,
SHBG,14,TRUE
,,
SMARCAD1,14,TRUE
,,
SNX14,14,TRUE
,,
ZIC4,14,TRUE
,,
A6NF83,15,TRUE
,,
CRISPR,15,FALSE
,,
DIRAS2,15,TRUE
,,
ELK4,15,TRUE
,,
HABP2,15,TRUE
,,
MAGEC1,15,TRUE
,,
MSX1,15,TRUE
,,
NPAS1,15,TRUE
,,
P0CJ86,15,TRUE
,,
P55316,15,TRUE
,,
PIM3,15,TRUE
,,
Q15057,15,TRUE
,,
