TERM,PATHWAYS,INTERACTIONS
???,0,0
DMRT1,0,4
PI15,0,17
PROM1,0,18
edil3,3,13
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,64,0
P12883,3,25
Crb2,0,22
P17010,0,18
CHD7,2,24
kegg,61,0
PHOX2B,1,24
HOTAIR,0,0
pca3,0,0
FLCN,0,25
POSTN,0,24
chd2,0,26
A8K2U0,0,5
SBDS,0,24
mnx1,0,7
Dlx1,1,24
LZTR1,0,24
SETBP1,0,24
piezo1,0,18
NCOA4,2,24
ELF5,1,24
TMC1,0,9
Pl15,0,0
FUBP1,0,27
q92508,0,18
SIL1,0,24
tmco1,0,24
photosynthesis,6,0
ANXA3,0,24
CELSR2,2,25
CAMTA1,0,24
phex,0,25
SHOX,0,8
GXYLT1,1,48
CDHR1,2,23
MALAT1,0,0
SGCE,0,12
P16860,0,27
PHF6,0,24
OSR1,0,24
SOX11,0,16
hoxa13,0,26
Q96G97,0,24
RBM20,0,6
A6NHR9,0,24
Frzb,3,26
EGR3,1,28
Q5QGS0,0,3
LRBA,0,24
AFF2,0,10
IRGM,0,10
Prrx1,0,24
Q53GA5,0,0
AIF1,0,11
VPS13B,0,25
ASXL3,0,6
Q0VG99,1,4
Q9Y3R5,0,6
Q9P1W3,0,1
CCL7,1,27
P05408,0,12
SPG11,0,6
TENM1,0,24
USH2A,0,18
EHF,1,24
P14222,6,27
pax7,1,24
P48742,0,24
CSMD1,0,6
HMCN1,0,24
RCBTB1,0,23
ARMS2,0,0
srpx2,0,17
CDH23,2,24
Q8TE73,1,14
Activation of TRKA receptors,60,0
q9h4a4,0,15
MFSD8,0,24
MPZ,1,13
SSH2,0,24
DNASE1L3,0,24
GPR174,0,10
Q6UWS5,0,7
U3KPV4,0,0
Q96DW6,0,8
gal3st1,2,38
Q8NEV4,3,16
TOR2A,1,6
ANLN,0,25
HINT1,0,24
DCLK2,0,18
INVS,0,25
PRPH2,0,4
SPATA7,0,18
SERPINF1,0,26
INF2,0,24
DPP6,0,6
Mgp,1,24
ZMIZ1,3,25
PCDH15,2,20
CNGB3,2,26
OPA3,0,24
????,0,0
NBPF10,0,1
Q9BUW7,0,0
Q2TB90,14,50
SLC39A11,0,27
Q96L92,0,24
MTDH,2,25
Q9NPA0,0,24
Q9Y5B6,0,24
Q9Y5K2,1,9
TM4SF1,0,13
CLIC1,0,25
O95057,0,19
FEV,2,24
plag1,0,24
Q8NEY1,0,24
Q9NPC4,2,48
SAMD9L,0,6
VTCN1,0,8
Id4,1,24
O43435,1,7
Q96QS3,0,24
CMPK2,4,48
spink1,0,13
laptm5,0,24
WDPCP,0,2
CCL14,0,17
DGCR2,0,16
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,65,1
Q99453,0,24
SPOCK2,0,24
C1QTNF3,0,13
cnga3,2,26
IGSF3,0,24
fat4,0,24
FOXF1,1,19
IRX3,0,22
REG1A,3,7
A2ML1,0,5
CSMD3,0,24
Q8N5I9,0,0
NAGPA,0,24
Q9C0E2,1,24
TSHZ1,0,7
EN1,1,26
glycolisis,0,0
insuline,0,0
O75363,0,7
STC1,0,27
GZMA,1,24
P34820,9,22
PRR12,0,13
Q06787,0,30
Q5H943,0,0
Q96CU9,0,24
Q9P2D1,2,24
oxsr1,0,27
P18583,0,25
P28360,1,29
Q6WRI0,0,5
Q7Z429,1,11
Q96M93,0,0
hydin,0,7
ANXA4,1,24
ALPK1,0,13
ATOH1,0,24
MYCL,0,25
Q8WWQ0,0,24
Mxi1,0,25
NUPR1,1,28
SAMD9,0,13
Sigmar1,0,29
celsr3,2,25
IMPG1,0,11
